name,price ,type,country,alchool
Cass,2500,Lager,Korea,4.50%
Terra,2500,Lager,Korea,4.60%
hite,2500,Lager,Korea,4.50%
Kloud,2500,Lager,Korea,5.00%
Budweiser,3000,Lager,America,5.00%
Kirin,2500,Lager,Japan,5.0%
Sapporo,3000,Lager,Japan,5.00%
Miller,3300,Lager,America,4.70%
Tsingtao,3500,Lager,China,4.70%
Harbin,3000,Lager,China,5.00%
Heineken,2200,Lager,Netherlands,5.00%
Hoegaarden,3500,Ale,Belgium,4.90%
SierraNevadaPaleAle,5300,Ale,America,5.60%
NewcastleBrownAle,4000,Ale,English,4.70%
GooseIslandIPA,3500,Ale,America,5.90%
LagunitasIPA,3500,Ale,America,6.00%
BallastPointSculpinIPA,4500,Ale,America,7.00%
BrooklynEastIPA,4500,Ale,America,6.90%
BlueMoonBelgianStyleWhite,3000,Ale,Belgium,5.40%
HarvestIPA,3300,Ale,Korea,5.00%
Heineken0.0,2500,NonAlc,Netherlands,0%
Hoegaarden0.0,3500,NonAlc,Belgium,0%
Cass0.0,2500,NonAlc,Korea,0%
HiteZero0.00,2500,NonAlc,Korea,0%
BudweiserZero,2500,NonAlc,Korea,0%
KloudNon-Alcoholic,2500,NonAlc,Korea,0%
SapporoPremiumNonAlcoho,3000,NonAlc,Japan,0%
TsingtaoNon-Alcoholic,3500,NonAlc,China,0%
Guinness0.0,3500,NonAlc,Island,0%
KrushNon-Alcoholic,2500,NonAlc,Korea,0%

