name,price,type,country,alcohol
Cass,2500,Lager,Korea,4.5
Terra,2500,Lager,Korea,4.6
hite,2500,Lager,Korea,4.5
Kloud,2500,Lager,Korea,5
Budweiser,3000,Lager,America,5
Kirin,2500,Lager,Japan,5
Sapporo,3000,Lager,Japan,5
Miller,3300,Lager,America,4.7
Tsingtao,3500,Lager,China,4.7
Harbin,3000,Lager,China,5
Heineken,2200,Lager,Netherlands,5
Hoegaarden,3500,Ale,Belgium,4.9
Sierra Nevada Pale Ale,5300,Ale,America,5.6
Newcastle Brown Ale,4000,Ale,English,4.7
GooseIsland IPA,3500,Ale,America,5.9
Lagunitas IPA,3500,Ale,America,6
Ballast Point Sculpin IPA,4500,Ale,America,7
BrooklynEast IPA,4500,Ale,America,6.9
Blue Moon Belgian Style White,3000,Ale,Belgium,5.4
Harvest IPA,3300,Ale,Korea,5
Heineken 0.0,2500,NonAlc,Netherlands,0
Hoegaarden 0.0,3500,NonAlc,Belgium,0
Cass 0.0,2500,NonAlc,Korea,0
Hite Zero 0.00,2500,NonAlc,Korea,0
Budweiser Zero,2500,NonAlc,Korea,0
Kloud Non-Alcoholic,2500,NonAlc,Korea,0
Sapporo Premium Non-Alcoholic,3000,NonAlc,Japan,0
Tsingtao Non-Alcoholic,3500,NonAlc,China,0
Guinness 0.0,3500,NonAlc,Island,0
Krush Non-Alcoholic,2500,NonAlc,Korea,0
