name,price ,type,country,alcohol
Naked Malt Blended Malt Scotch Whiskey 700ml,55000,whisky,Scotland,40
Macallan 12 Year Old Double Cask,115000,whisky,Scotland,40
Ballantine_s 17 Year Old,115000,whisky,England,40
Glenfiddich 18 Years,108000,whisky,Scotland,40
Regal 12 Year Old Blended Scotch Whisky,44000,whisky,Scotland,40
Jack Daniels 1.0L,49000,whisky,USA,40
Aberlour A_bunadh batch 75,168000,whisky,England,60.9
Yellow rose premium american whiskey,40000,whisky,USA,40
Jameson Standard,35000,whisky,Ireland,40
Maker_s Mark,43000,whisky,USA,45
Bushmills Original,39000,whisky,Ireland,40
Absolut Vodka (750 ml),27000,vodka,Sweden,40
Beluga Transatlantic Racing Vodka,180000,vodka,Russia,40
Absolut Elyx Vodka,70000,vodka,Sweden,42.3
Stolichnaya Gold Label Vodka,58000,vodka,Russia,40
Pravda Vodka - Plain vodka _ Bondston,48000,vodka,Poland,40
1800 Tequila Jose Cuervo Anejo Reserva 100_ Agave,80000,tequila,Mexico,40
Patron Silver Tequila,99000,tequila,Mexico,40
Sierra Tequila Reposado,36000,tequila,Mexico,38
Don Julio Blanco,90000,tequila,Mexico,38
Herradura Plata Tequila,51000,tequila,Mexico,40
Bacardí Caribbean Spiced,10000,rum,France,32
Havana Club Anejo 3 Anos,30000,rum,Cuba,40
Malibu Coconut Rum 1L,32000,rum,Canada,21
Bacardí Superior,22000,rum,USA,40
Plantation 3 Stars White Rum,43000,rum,France,41.2
